,Words,No. of occurrence
2392,LLC,2
2393,MERGER,511
2394,LASER,405
2395,CLN,10
2396,PARENT,371
2397,CAMPER,4
2398,JAVA,9
2399,W,23
2400,SELLERS,17
2401,SENTINEL,7
2402,Y,29
2403,ARTHUR,3
2404,ANDERSEN,4
2405,LLP,14
2406,SCHEDULE,191
2407,SUBMITTED,4
2408,ELECTRONICALLY,2
2409,RELEASE,31
2410,HEREWITH,10
2411,SIGNATURES,2
2412,DULY,104
2413,CAUSED,9
2414,SIGNED,24
2415,BEHALF,57
2416,UNDERSIGNED,1
2417,THEREUNTO,7
2418,AUTHORIZED,61
2419,PERSONS,26
2420,CAPACITIES,1
2421,CHARLES,4
2422,ELSON,2
2423,HOWARD,2
2424,KRISTOL,2
2425,PETER,8
2426,LANGERMAN,8
2427,WILLIAM,2
2428,RUTTER,2
2429,FAITH,19
2430,WHITTLESEY,2
2431,ROBERT,4
2432,GLUCK,2
2433,CONTROLLER,1
2434,BALANCE,68
2435,SHEETS,6
2436,NNOTES,5
2437,NIIVALUATION,1
2438,QUALIFYING,6
2439,INSTRUCTIONS,7
2440,INAPPLICABLE,3
2441,WE,17
2442,AUDITED,3
2443,NPERIOD,23
2444,DECEMBERTHESE,1
2445,NRESPONSIBILITY,1
2446,MANAGEMENTOUR,1
2447,EXPRESS,10
2448,NOPINION,3
2449,OUR,34
2450,AUDITS,5
2451,ACCORDANCE,136
2452,ACCEPTED,15
2453,AUDITING,2
2454,NSTANDARDSTHOSE,1
2455,REQUIRE,13
2456,AUDIT,14
2457,NREASONABLE,8
2458,ASSURANCE,3
2459,FREE,20
2460,NMATERIAL,35
2461,MISSTATEMENTAN,1
2462,EXAMINING,2
2463,TEST,1
2464,EVIDENCE,8
2465,NSUPPORTING,1
2466,DISCLOSURES,5
2467,STATEMENTSAN,1
2468,NALSO,2
2469,ASSESSING,1
2470,PRINCIPLES,17
2471,NESTIMATES,3
2472,EVALUATING,2
2473,OVERALL,2
2474,PRESENTATIONWE,1
2475,BELIEVE,1
2476,REASONABLE,94
2477,PRESENT,20
2478,FAIRLY,5
2479,RESPECTS,44
2480,CONFORMITY,2
2481,NPRINCIPLES,8
2482,NARTHUR,1
2483,NFORT,2
2484,LAUDERDALE,5
2485,DOLLARS,11
2486,THOUSANDS,19
2487,NNET,13
2488,NINTEREST,16
2489,DEFERRED,28
2490,BASIC,8
2491,NWEIGHTED,2
2492,NASSETS,11
2493,NCURRENT,4
2494,INVENTORIES,6
2495,PREPAID,7
2496,NPROPERTY,15
2497,NLIABILITIES,11
2498,NDEFERRED,2
2499,NCOMMITMENTS,9
2500,PREFERRED,16
2501,TREASURY,27
2502,AMORTIZATION,13
2503,UNEARNED,7
2504,RETIREMENT,29
2505,MINIMUM,26
2506,PENSION,37
2507,GRANT,67
2508,ISSUANCES,6
2509,RECONCILE,1
2510,DEPRECIATION,4
2511,ACCOUNT,94
2512,PAYMENT,186
2513,NINVESTING,2
2514,NFINANCING,4
2515,ISSUANCE,35
2516,OBLIGATIONS,170
2517,POLICIES,23
2518,NGENERATIONS,1
2519,NRETAILER,1
2520,NDEPARTMENT,1
2521,MILITARYTHE,1
2522,NSTATESTHE,1
2523,CONTROLSALL,1
2524,INTERCOMPANY,5
2525,NBALANCES,1
2526,ELIMINATED,2
2527,NPRESENTATION,3
2528,PERIODS,27
2529,ENDS,2
2530,SUNDAY,2
2531,NEAREST,1
2532,DECEMBERFISCAL,1
2533,NYEARS,2
2534,NDECEMBER,4
2535,RESPECTIVELY,9
2536,ENCOMPASSED,1
2537,WEEK,4
2538,NUSE,2
2539,PREPARATION,11
2540,ASSUMPTIONS,4
2541,NOTESACTUAL,1
2542,DIFFER,4
2543,NTHOSE,8
2544,ESTIMATESSIGNIFICANT,1
2545,ESTABLISHMENT,1
2546,ALLOWANCE,4
2547,DOUBTFUL,4
2548,NLIABILITY,12
2549,OBSOLETE,1
2550,NEXPOSURES,1
2551,NCONCENTRATIONS,1
2552,CANADAAPPROXIMATELY,1
2553,NLARGEST,1
2554,ESTABLISHES,3
2555,NONGOING,1
2556,EVALUATION,1
2557,CREDITWORTHINESS,1
2558,NASSESSMENT,3
2559,NCREDIT,9
2560,DECEMBERHOWEVER,1
2561,INCURRED,40
2562,TRENDS,1
2563,NINVENTORIES,1
2564,STATED,31
2565,NDETERMINED,6
2566,OUT,43
2567,METHOD,7
2568,COSTTHE,1
2569,PROVIDES,12
2570,NDEPRECIATION,1
2571,USING,5
2572,STRAIGHT,3
2573,ALLOCATE,5
2574,USEFUL,3
2575,LIVES,2
2576,BUILDINGS,2
2577,MACHINERY,2
2578,TOOLING,1
2579,FIXTURES,1
2580,AMORTIZED,6
2581,NSHORTER,1
2582,LIFE,11
2583,LIVED,4
2584,NOACCOUNTING,3
2585,DISPOSED,16
2586,OFSEE,1
2587,NCAPITALIZED,3
2588,AMOUNTED,4
2589,NAMORTIZATION,1
2590,NOVER,1
2591,NREVENUE,3
2592,SHIPMENT,2
2593,CUSTOMERSIN,1
2594,REQUEST,45
2595,BILL,2
2596,PACKAGED,1
2597,READY,1
2598,NSEGREGATED,1
2599,LEGAL,51
2600,PASSED,1
2601,NCUSTOMERTHE,1
2602,COMPRISED,5
2603,DISCOUNTS,6
2604,ALLOWANCES,4
2605,COOPERATIVE,1
2606,NWARRANTY,4
2607,NNEEDED,1
2608,PERIODICALLY,3
2609,REVIEWED,3
2610,ADJUSTED,13
2611,CONSIDER,1
2612,EXPERIENCE,4
2613,EXPENSED,2
2614,INCURREDCO,1
2615,OPERATIVE,1
2616,NRATABLY,1
2617,RELATION,13
2618,NHIGHLY,1
2619,INFLATIONARY,2
2620,ENVIRONMENTS,2
2621,TRANSLATED,3
2622,GAINS,5
2623,ACCUMULATED,12
2624,EQUITYINCOME,1
2625,NCONVERTED,2
2626,PREVAILING,1
2627,NRATE,3
2628,RATESTRANSLATION,1
2629,NACCOMPANYING,1
2630,ALLOWS,1
2631,NADOPTION,1
2632,FAIR,40
2633,CONTINUATION,6
2634,APB,3
2635,NINTERPRETATIONS,1
2636,CHOSEN,2
2637,NINTRINSIC,1
2638,PRESCRIBED,5
2639,NOAND,3
2640,ACCORDINGLY,4
2641,NDOES,2
2642,RECOGNIZE,1
2643,GRANTS,18
2644,EQUAL,71
2645,GRANTPRO,1
2646,FORMA,5
2647,PRESENTED,10
2648,HEREINSFAS,1
2649,DOES,24
2650,SHAREBASIC,1
2651,CALCULATIONS,2
2652,DIVIDING,2
2653,WEIGHTED,13
2654,STOCKDILUTED,1
2655,DILUTIVE,1
2656,NOTETHE,1
2657,NCOMPLY,3
2658,NOSFAS,1
2659,NOHAD,1
2660,INTHE,2
2661,EPS,16
2662,NRECLASSIFICATION,1
2663,RECLASSIFIED,3
2664,CONFORM,1
2665,FASB,2
2666,NSFAS,2
2667,NOREPORTING,1
2668,INCOMESFAS,1
2669,NOESTABLISHES,2
2670,DISPLAY,1
2671,STATEMENTSSFAS,1
2672,NOIS,2
2673,NBEGINNING,5
2674,DECEMBERRECLASSIFICATION,1
2675,NEARLIER,3
2676,COMPARATIVE,1
2677,REQUIREDTHE,1
2678,DETERMINING,5
2679,FORMATTHE,1
2680,INFORMATIONSFAS,1
2681,WAY,16
2682,ENTERPRISES,2
2683,NSEGMENTS,1
2684,SELECTED,14
2685,INTERIM,5
2686,NREPORTS,9
2687,SHAREHOLDERSIT,1
2688,NDISCLOSURES,1
2689,DECEMBERFINANCIAL,1
2690,RESTATEDTHE,1
2691,NDISCLOSURE,16
2692,REQUIREMENTSTHE,2
2693,NOWILL,1
2694,NAUTHORIZEDAT,1
2695,RETIRED,11
2696,RETURNED,9
2697,NUNISSUED,1
2698,SHARESAS,2
2699,ASSIGNED,64
2700,CORRESPONDING,2
2701,REPURCHASED,2
2702,GRANTED,65
2703,NRESTRICTED,7
2704,COMPANYCOMPENSATION,1
2705,RESTRICTIONS,45
2706,LAPSE,23
2707,CASE,167
2708,IMMEDIATELY,74
2709,EQUALLY,3
2710,NOFFICERS,9
2711,COMPANYTHESE,3
2712,REPLACED,3
2713,PREVIOUS,3
2714,SCHEDULED,3
2715,EXPIRE,8
2716,NREFER,1
2717,ACCELERATION,18
2718,VESTING,32
2719,SUMMARIZED,3
2720,MATURING,3
2721,NSERIALLY,1
2722,ELEVEN,1
2723,INSTALLMENTS,13
2724,NINSTITUTIONAL,1
2725,PLACEMENTTHE,1
2726,LOANED,1
2727,RECOURSE,4
2728,NAGREEMENT,137
2729,RESTRICTING,3
2730,FUNDS,44
2731,NACQUISITION,4
2732,DESIGN,6
2733,EQUIPPING,1
2734,CENTERTHE,1
2735,GUARANTEED,4
2736,SECURED,12
2737,SUBSEQUENTLY,3
2738,SYNDICATED,1
2739,MILLIONUNDER,1
2740,BORROW,1
2741,BID,2
2742,SPREAD,1
2743,LIBOR,1
2744,RATEIN,1
2745,PAYS,3
2746,CURRENTLYTHE,1
2747,CONTAINS,5
2748,REPAID,1
2749,FURNTITURE,1
2750,NAMOUNTS,17
2751,CONSISTS,12
2752,BOND,12
2753,FIXED,3
2754,NRECEIVABLE,18
2755,NWHOLLY,3
2756,RECEIVABLETHE,2
2757,MAXIMUM,17
2758,MILLIONAT,1
2759,NTRADE,1
2760,NBORROWINGS,1
2761,FACILITYCOSTS,1
2762,CONSIST,2
2763,PURCHASER,317
2764,ISSUING,4
2765,NPAPER,3
2766,BACKED,2
2767,NCLASSIFIED,1
2768,NOPERATIONSTHE,2
2769,AGENT,210
2770,RETAINS,1
2771,NCOLLECTION,7
2772,RESPONSIBILITIES,11
2773,PURCHASED,15
2774,NFAIR,3
2775,CARRYING,15
2776,APPROXIMATE,4
2777,METHODS,8
2778,NASSUMPTIONS,1
2779,NEQUIVALENTS,1
2780,LIQUID,3
2781,ORIGINAL,19
2782,MATURITIES,2
2783,NMONTHS,3
2784,APPROXIMATES,1
2785,MARKETTHE,1
2786,DISCOUNTED,1
2787,NBASED,2
2788,YIELD,15
2789,NQUALITY,1
2790,MATURITYTHE,1
2791,VARIABLE,1
2792,NASSUMED,2
2793,LETTERS,13
2794,UTILIZES,3
2795,NCERTAIN,5
2796,GUARANTEEING,1
2797,ACTIVITIESTHE,1
2798,CONTRACT,58
2799,NDERIVATIVE,2
2800,ANDNO,1
2801,PURPOSESFOREIGN,1
2802,HEDGE,2
2803,UNDERLYING,3
2804,NCURRENCYALTHOUGH,1
2805,NDIFFERENCE,1
2806,NEITHER,69
2807,AGGREGATETHE,1
2808,ENTERS,2
2809,COUNTERPARTIES,1
2810,CREDITWORTHY,1
2811,LEVERAGED,1
2812,NFLOATING,1
2813,SWAP,1
2814,MITIGATE,4
2815,TRANSACTIONSTHE,2
2816,TYPICALLY,1
2817,NEXPIRE,1
2818,YEARANY,1
2819,REALIZED,4
2820,NRECOGNIZED,3
2821,HEDGED,1
2822,RECOGNIZEDTHE,1
2823,NOTIONAL,3
2824,INOPTIONS,1
2825,EXPIRED,10
2826,NRESPECTIVELYTHE,1
2827,NEMPLOYEE,22
2828,NRESTATED,3
2829,PLANUNDER,1
2830,ELIGIBLE,36
2831,GRANTTHE,1
2832,NTERM,2
2833,COMMENCES,1
2834,EXPIRES,3
2835,TENTH,7
2836,NANNIVERSARY,1
2837,GRANTOPTIONS,1
2838,EXERCISABLE,51
2839,NTHREE,5
2840,EMPLOYEE,111
2841,DIRECTORSSEE,1
2842,NOUTSIDE,3
2843,JULYOPTIONS,1
2844,STILL,3
2845,NANNUAL,3
2846,ANNIVERSARY,27
2847,NGRANT,6
2848,DATEON,1
2849,APPLIES,5
2850,INTERPRETATIONS,3
2851,NACCOUNTING,2
2852,OPTIONSACCORDINGLY,1
2853,OPTIONSHAD,1
2854,CONSISTENT,50
2855,NOTHE,1
2856,PRO,9
2857,NUSING,1
2858,BLACK,1
2859,SCHOLES,1
2860,MODEL,1
2861,VOLATILITY,1
2862,DIVIDEND,22
2863,ENDING,18
2864,EXERCISED,11
2865,CANCELED,12
2866,NOPTIONS,5
2867,SUMMARIZES,1
2868,NRANGE,2
2869,CONTRACTUAL,13
2870,NRETIREMENT,2
2871,SPONSORS,2
2872,NELIGIBLE,5
2873,SALARIED,3
2874,HOURLY,3
2875,EMPLOYEESBENEFIT,1
2876,ACCRUALS,2
2877,NCOVERING,1
2878,FROZEN,2
2879,NTHEREFORE,1
2880,FORMULA,2
2881,GIVEN,38
2882,DATEHOWEVER,1
2883,EARN,4
2884,TOWARD,2
2885,NTHEIR,16
2886,DECEMBEREMPLOYEES,1
2887,RECEIVE,78
2888,NSPONSORED,1
2889,ADMINISTERED,5
2890,AGENCIES,1
2891,FUNDED,5
2892,ACTUARIAL,7
2893,VESTED,72
2894,UNRECOGNIZED,4
2895,EARNED,3
2896,RETURN,43
2897,DEFERRAL,8
2898,DISCOUNT,11
2899,NLAWS,4
2900,REGULATIONSPENSION,1
2901,GOVERNMENT,5
2902,NBONDS,1
2903,NDEFINED,14
2904,NSTATEMENTS,10
2905,POSTRETIREMENT,11
2906,NFORMER,4
2907,WHO,63
2908,MARCHTHE,2
2909,CONSISTENTLY,5
2910,FOLLOWED,5
2911,POLICY,18
2912,FUNDING,72
2913,NPOSTRETIREMENT,3
2914,YOU,1
2915,GO,2
2916,NBASIS,9
2917,AMENDMENTS,23
2918,NBENEFITS,10
2919,ADOPTEDTHE,1
2920,RETIREE,3
2921,NCONTRIBUTION,5
2922,GROUPS,2
2923,DISCONTINUATION,1
2924,NMEDICAL,1
2925,COVERAGE,11
2926,RETIREES,1
2927,QUALIFY,6
2928,NMEDICARETHESE,1
2929,PRESENTS,5
2930,RECONCILED,1
2931,OBLIGATION,74
2932,GAIN,2
2933,ACCRUED,50
2934,NFOLLOWING,24
2935,MEASURING,1
2936,NGRADUALLY,1
2937,REMAIN,34
2938,THEREAFTERA,1
2939,NPOINT,1
2940,PROFIT,25
2941,EMPLOYEESCOMPANY,1
2942,CONTRIBUTIONS,49
2943,EMPLOYER,29
2944,NMATCHING,2
2945,DISCRETIONARY,3
2946,NCOMPENSATIONTHE,1
2947,NSUPPLEMENTARY,2
2948,NFOLLOWS,8
2949,SUNDRY,1
2950,VALUATIONS,1
2951,WORK,10
2952,SUPPLIES,1
2953,LAND,2
2954,EXCLUDE,4
2955,NDISCONTINUED,2
2956,PAYROLLS,1
2957,COMMISSIONS,3
2958,CAPITALIZATION,5
2959,REFUNDS,1
2960,PHASE,3
2961,NRATIONALIZATION,1
2962,PROCUREMENT,1
2963,NOFFERINGS,1
2964,DIVEST,4
2965,NDIVISIONAL,1
2966,NCORPORATE,5
2967,OUTSOURCED,1
2968,NBACK,1
2969,HEADCOUNTOVERALL,1
2970,CALLS,10
2971,NELIMINATION,1
2972,WORKFORCE,1
2973,DISPOSITION,13
2974,POSITIONSTHE,1
2975,OFTHIS,1
2976,NALLOCATED,3
2977,NDESCRIBED,4
2978,WRITE,4
2979,DOWNS,4
2980,NLIQUIDATION,2
2981,NMILLIONDURING,1
2982,CLOSURES,1
2983,START,2
2984,REALIZABLE,2
2985,DISPOSALS,1
2986,NEXCESS,5
2987,OFFS,1
2988,NREDUNDANT,1
2989,CONSOLIDATIONS,1
2990,INTANGIBLE,2
2991,NWRITE,1
2992,EXITED,2
2993,REDUCTIONSTHE,1
2994,CUMULATIVE,9
2995,ACTIVITY,9
2996,NACCRUAL,1
2997,REDUCTIONS,7
2998,ASSETSIN,1
2999,INDUSTRIES,4
3000,MARCHIN,1
3001,NCONNECTION,19
3002,CASHTHE,2
3003,NPROVISION,11
3004,PROCEEDSEARNINGS,1
3005,NAPPLICABLE,43
3006,RESPECTIVELYEARNINGS,1
3007,MATERIALREVENUES,1
3008,INTHESE,1
3009,NCOMPLETED,2
3010,NTEXTILE,1
3011,FACILITYLOSSES,1
3012,NINCLUDED,5
3013,RECONCILIATION,1
3014,NCOMPUTED,1
3015,APPLYING,4
3016,COMPUTED,1
3017,TAXED,1
3018,BOOK,4
3019,DIFFERENCE,4
3020,UNDISTRIBUTED,4
3021,PERMANENTLY,4
3022,NREINVESTEDAT,1
3023,MILLIONDETERMINATION,1
3024,NUNRECOGNIZED,2
3025,PRACTICAL,1
3026,BECAUSE,8
3027,NCOMPLEXITIES,1
3028,HYPOTHETICAL,2
3029,CALCULATION,6
3030,CARRYOVERS,1
3031,INDOOR,5
3032,INSALES,1
3033,NDURABLE,1
3034,UNALLOCATED,2
3035,ELIMINATIONS,3
3036,IDENTIFIABLE,1
3037,NIDENTIFIABLE,1
3038,DIRECTLY,41
3039,ASSETSSALES,1
3040,PLUS,8
3041,MARKUP,1
3042,NREGULATIONSAS,1
3043,NPOTENTIALLY,1
3044,NCOMPARABLE,4
3045,NEXCLUSIVE,2
3046,NDESIGNATED,7
3047,MINIMIS,2
3048,PARTICIPANTSUBSTANTIALLY,1
3049,RELATE,7
3050,LAWIN,1
3051,FORMERLY,8
3052,NCONDUCTED,5
3053,NNUCLEAR,1
3054,NSUBSTANTIALLY,7
3055,NONACCOUNTING,2
3056,REVIEWS,2
3057,RESPONSIBILITYAS,1
3058,NSET,8
3059,STATEMENTSLIABILITY,1
3060,IMPOSED,28
3061,NREGARD,5
3062,CULPABILITYAS,1
3063,NRECOGNIZES,1
3064,DETERMINE,11
3065,NSITE,1
3066,PAYING,11
3067,SITEWHENEVER,1
3068,NPARTICULAR,1
3069,NESTABLISHING,1
3070,MINIMIZE,2
3071,NRESPECT,39
3072,NSTEERING,1
3073,NSITESTHE,1
3074,RECOVERY,2
3075,NRESERVES,1
3076,NPOSSIBILITY,1
3077,NJOINT,4
3078,NFEDERAL,3
3079,DECEMBERIN,1
3080,PERFORMED,20
3081,CLAIMSAS,1
3082,NADEQUATELY,1
3083,NLEASES,1
3084,RENTS,1
3085,LEASESRENTAL,1
3086,FORTHE,1
3087,NRENTALS,1
3088,NONCANCELABLE,1
3089,NAGGREGATED,1
3090,MILLIONTHE,1
3091,NTHEREAFTER,4
3092,PARTIES,164
3093,ALTHOUGH,1
3094,REMAINED,6
3095,NOBLIGOR,9
3096,DOCUMENTSSUCH,1
3097,NOBLIGATIONS,18
3098,OCCURRED,22
3099,NPRIOR,21
3100,NOEXTINGUISHMENT,1
3101,DEBTMANAGEMENT,1
3102,NPURSUANT,32
3103,AGGREGATING,1
3104,NLITIGATION,3
3105,NCOMPANYTHE,3
3106,CASES,3
3107,NPROBABLE,1
3108,INJURY,2
3109,DAMAGE,5
3110,NLAWSUITS,1
3111,INCIDENTAL,2
3112,BUSINESSANNUALLY,1
3113,HISTORICAL,2
3114,CLAIMS,58
3115,AVAILABILITY,1
3116,NINSURANCETHE,1
3117,SELF,5
3118,NRETENTION,2
3119,OCCURRENCE,25
3120,LIABLE,23
3121,RETENTION,4
3122,LIABILITIESSUCH,1
3123,NECESSARILY,4
3124,NDETERMINATIONS,2
3125,CONSULTANTS,3
3126,NEXPOSURE,1
3127,TAKING,13
3128,NUMBERS,1
3129,NRELEVANT,1
3130,THUS,1
3131,EXCEED,13
3132,ACCRUEDTHE,1
3133,MAKING,21
3134,NTHEREFROM,2
3135,RARELY,1
3136,INSURED,6
3137,RETENTIONTHERE,1
3138,NHOWEVER,4
3139,NCONSISTENT,6
3140,EXPERIENCEBASED,1
3141,CONCLUSION,2
3142,NCLAIMS,4
3143,NUNAUDITED,1
3144,NGROSS,10
3145,NBASIC,4
3146,NDILUTED,6
3147,NEARNING,1
3148,NMARKET,3
3149,NDIVIDENDS,3
3150,FORFEITURE,5
3151,UNVESTED,14
3152,UNRESTRICTED,8
3153,NTEN,1
3154,NGRANTED,3
3155,NOTEIN,1
3156,NOFFICER,5
3157,UPS,4
3158,NEQUITY,5
3159,VEST,13
3160,NFORFEITURE,1
3161,NEQUAL,3
3162,NEXERCISABLE,3
3163,AGREEMENTSIN,1
3164,NPROVIDE,9
3165,ATTRIBUTED,1
3166,NVESTING,1
3167,NRESTRICTIONS,3
3168,LAPSETOTAL,1
3169,FINANCINGSEACH,1
3170,WHEREBY,1
3171,NCONSISTING,2
3172,DEBTSHAREHOLDERS,1
3173,NCOFFEEMAKERS,1
3174,NMETER,1
3175,NSAFETY,2
3176,NVALUED,1
3177,DEBTN,1
3178,REFINANCING,1
3179,NDEBT,3
3180,CLOSINGS,1
3181,VALUATION,2
3182,CHARGED,3
3183,NDESCRIPTION,1
3184,DEDUCTIONS,3
3185,NALLOWANCE,1
3186,WRITTEN,114
3187,OFF,2
3188,UNCOLLECTIBLE,3
3189,EX,23
3190,NEXHIBIT,16
3191,NDATE,25
3192,WHEREAS,36
3193,NDESIRES,1
3194,EMPLOY,14
3195,DESIRES,8
3196,NCONTINUE,3
3197,FURNISH,24
3198,NHEREINAFTER,3
3199,DESIRE,9
3200,NSETTING,1
3201,RELATIONSHIP,7
3202,TERMINATION,360
3203,NOW,45
3204,CONSIDERATION,66
3205,PREMISES,7
3206,NMUTUAL,1
3207,HEREBY,132
3208,AGREE,56
3209,NEMPLOYMENTTHE,3
3210,AGREES,57
3211,ACCEPTS,4
3212,HEREINAFTER,20
3213,NEMPLOYMENT,22
3214,PERIODTHE,6
3215,HEREUNDER,168
3216,SHALL,1903
3217,COMMENCE,15
3218,NTERMINATION,28
3219,EARLIERALL,3
3220,NFULL,8
3221,DATEIN,4
3222,FORFEITED,29
3223,NREMAINING,2
3224,NEXECUTION,7
3225,REIMBURSE,24
3226,GROSSED,18
3227,HIM,37
3228,STOCKCOMMENCING,1
3229,SUCCESSIVE,2
3230,RENEWAL,7
3231,NUNLESS,8
3232,EXTEND,22
3233,HERETO,121
3234,NCOMMENCEMENT,1
3235,UNLESS,78
3236,JANUARYUNLESS,1
3237,CONTEXT,2
3238,SUGGESTS,1
3239,DEEMED,97
3240,DUTIESTHE,3
3241,SERVE,14
3242,NSHALL,121
3243,BOARDDURING,1
3244,NSUPERVISORY,1
3245,POWERS,13
3246,NDUTIES,7
3247,HIS,150
3248,LIMITATION,54
3249,SUPERVISION,1
3250,DEVOTE,3
3251,NHIS,6
3252,ATTENTION,20
3253,ENERGIES,3
3254,DUTIES,57
3255,COMPANYIT,1
3256,CIVIC,1
3257,CHARITABLE,1
3258,BOARDS,10
3259,GIVE,28
3260,NSPEECHES,1
3261,APPEARANCES,4
3262,DISCUSS,2
3263,SO,97
3264,NUNREASONABLY,1
3265,INTERFERE,5
3266,AGREEMENTIT,1
3267,UNDERSTOOD,4
3268,COMMITMENT,12
3269,APPEAR,1
3270,CITIES,2
3271,ENTITLED,68
3272,MEAN,122
3273,NCO,1
3274,AUTHOR,1
3275,BORNE,8
3276,EXECUTIVETHE,1
3277,NOMINATE,3
3278,NREELECTED,2
3279,DURATION,9
3280,INDIVIDUALS,15
3281,REELECTED,3
3282,NDURATION,3
3283,PERIODIN,1
3284,NFAILS,3
3285,HAVING,42
3286,RESIGNS,1
3287,REMOVED,8
3288,DESIGNATE,7
3289,SUCCESSOR,50
3290,REASONABLY,116
3291,ACCEPTABLE,12
3292,NBOARD,9
3293,PERSON,218
3294,NBEST,5
3295,NPLACE,4
3296,PERFORMANCETHE,4
3297,PLACE,21
3298,PALM,8
3299,NBEACH,2
3300,COUNTY,6
3301,AGREED,31
3302,EXECUTIVEIN,4
3303,MOVED,3
3304,PROMPTLY,55
3305,NREIMBURSE,7
3306,RESIDENCE,9
3307,BOCA,3
3308,RATON,3
3309,HIMSELF,3
3310,FAMILY,7
3311,NTRAVEL,1
3312,MOVING,3
3313,STORAGE,4
3314,LODGING,4
3315,MAINTENANCE,5
3316,NASSESSED,2
3317,EXPENSESTHE,3
3318,NRELOCATION,1
3319,NEVERY,1
3320,REIMBURSED,7
3321,NANY,127
3322,SALARYAS,3
3323,SALARY,34
3324,RETROACTIVE,6
3325,NSALARYEXCEPT,1
3326,SENTENCE,26
3327,NBASE,2
3328,SEMI,3
3329,MONTHLY,7
3330,THEREOF,135
3331,BOARDBASE,1
3332,SHARESEFFECTIVE,3
3333,NIS,27
3334,HEREINSUCH,1
3335,NSHARES,39
3336,DATEALL,1
3337,SOLE,32
3338,FREELY,3
3339,NTRADEABLE,1
3340,RESTRICTIONSWITHIN,1
3341,QUALIFIED,45
3342,RESALE,4
3343,RIGHTS,188
3344,STOCKHOLDERTHE,1
3345,DISTRIBUTIONS,18
3346,CERTIFICATESUPON,3
3347,CERTIFICATES,72
3348,EVIDENCING,16
3349,DELIVERED,99
3350,DEATH,31
3351,BENEFICIARY,20
3352,WRITING,81
3353,DESIGNATION,3
3354,LEGATEE,4
3355,LEGATEES,3
3356,REPRESENTATIVES,25
3357,DISTRIBUTEES,4
3358,BEUNLESS,1
3359,BEAR,5
3360,LEGEND,10
3361,EVIDENCED,11
3362,TRANSFERRED,30
3363,PLEDGED,8
3364,HYPOTHECATED,4
3365,REGISTRATION,48
3366,OPTIONEFFECTIVE,3
3367,APPROVAL,55
3368,NOPTION,2
3369,NAWARDTHE,1
3370,AWARD,88
3371,NAVERAGE,3
3372,NYSE,14
3373,NEFFECTIVE,48
3374,NSUBJECT,26
3375,ANNIVERSARIES,7
3376,EARLIER,27
3377,HEREINWITHIN,1
3378,APPROVE,14
3379,MUTUALLY,6
3380,ALTERNATIVE,8
3381,NARRANGEMENT,7
3382,NELECT,2
3383,TERMINATE,57
3384,TERMINATED,59
3385,NENTITLED,12
3386,GRANTSANYTHING,1
3387,NCONTRARY,1
3388,NOTWITHSTANDING,17
3389,OCCURS,4
3390,EXTENT,106
3391,THERETOFORE,2
3392,CONTROLFOR,1
3393,SECTIONS,31
3394,BECOMES,22
3395,OWNER,19
3396,RULE,57
3397,PROMULGATED,28
3398,INCUMBENT,11
3399,MEANS,48
3400,MEMBERS,10
3401,BECOMING,15
3402,SUBSEQUENT,19
3403,WHOSE,14
3404,NOMINATION,3
3405,SUPPORTED,3
3406,THIRDS,4
3407,ADOPTS,3
3408,LIQUIDATION,12
3409,PROVIDING,14
3410,BENEFICIALLY,11
3411,INDIRECTLY,36
3412,PROPORTION,3
3413,INTERESTS,47
3414,ENTITIES,28
3415,SUCCEED,6
3416,EXPENSESDURING,1
3417,PROCEDURES,8
3418,FORCE,24
3419,NWITHOUT,15
3420,TRAVEL,6
3421,NHIMIN,1
3422,LIGHT,16
3423,WIFE,1
3424,VACATION,10
3425,ABSENCESTHE,3
3426,ABSENCES,3
3427,HOLIDAYS,3
3428,NILLNESS,1
3429,ALWAYS,4
3430,NLEAST,4
3431,WEEKS,6
3432,RATA,2
3433,COMPENSATED,6
3434,NUNUSED,1
3435,AUTOMOBILEWITHIN,1
3436,VEHICLE,2
3437,NMERCEDES,1
3438,AUTOMOBILE,2
3439,THEREAFTER,28
3440,NTYPE,1
3441,STYLE,1
3442,USETHE,1
3443,NAUTOMOBILE,1
3444,DRIVER,2
3445,REASONSTHE,1
3446,CLUB,3
3447,MEMBERSHIPDURING,1
3448,FEES,67
3449,MEMBERSHIP,4
3450,DUES,2
3451,RELOCATION,4
3452,OFFICETHE,1
3453,PLANNING,4
3454,ETCDURING,1
3455,CONSULTING,6
3456,NSERVICES,4
3457,ADVICE,15
3458,NHIM,3
3459,DISBURSEMENTS,10
3460,ADVISORS,7
3461,NINCURRED,7
3462,CONTEMPLATED,169
3463,BENEFITSDURING,3
3464,PARTICIPATE,25
3465,NWELFARE,1
3466,NINSURANCE,5
3467,MEDICAL,7
3468,ACCIDENT,4
3469,DISABILITY,34
3470,NSENIOR,2
3471,INCENTIVE,10
3472,NTERMINATIONTHE,3
3473,NCASE,15
3474,DEATHTHE,3
3475,NUPON,8
3476,DISABILITYIF,6
3477,NINCAPACITY,3
3478,PHYSICAL,5
3479,MENTAL,6
3480,ILLNESS,9
3481,NABSENT,2
3482,HUNDRED,3
3483,TWENTY,14
3484,CONSECUTIVE,4
3485,THIRTY,18
3486,NRETURNED,2
3487,DAY,95
3488,CAUSETHE,3
